,price
2547,19206
2548,12000
2549,8682
2550,20152
2551,34822
2552,21686
2553,20341
2554,26447
2555,42697
2556,38001
2557,38918
2558,8462
2559,40117
2560,25041
2561,46815
2562,21124
2563,23368
2564,47844
2565,13300
2566,38236
2567,33581
2568,14875
2569,32181
2570,13410
2571,14513
2572,30273
2573,42472
2574,29167
2575,34770
2576,24773
2577,34145
2578,35334
2579,10625
2580,39425
2581,11940
2582,26473
2583,34445
2584,21734
2585,33836
2586,37500
2587,10000
2588,41380
2589,9881
2590,21364
2591,39543
2592,36968
2593,35800
2594,23201
2595,46719
2596,30114
2597,39670
2598,13874
2599,37168
2600,34832
2601,30589
2602,16931
2603,33787
2604,7362
2605,24482
2606,31858
2607,20758
2608,30869
2609,42118
2610,49917
2611,30655
2612,17356
2613,14250
2614,6742
2615,36685
2616,17049
2617,20000
2618,30450
2619,39006
2620,33330
2621,30450
2622,25406
2623,28038
2624,36762
2625,26640
2626,33147
2627,35770
2628,35466
2629,9941
2630,11000
2631,31677
2632,25573
2633,20690
2634,14508
2635,38285
2636,33889
2637,41067
2638,31132
2639,46325
2640,33698
2641,50482
2642,36765
2643,21200
2644,33147
2645,32972
2646,39674
2647,30976
2648,16631
2649,36464
2650,31302
2651,37282
2652,33708
2653,28892
2654,17858
2655,18572
2656,13914
2657,17841
2658,39831
2659,51401
2660,20455
2661,31994
2662,19602
2663,44157
2664,38083
2665,27314
2666,33803
2667,38329
2668,37191
2669,40216
2670,20690
2671,31938
2672,18572
2673,33539
2674,18486
2675,35715
2676,48102
2677,20953
2678,20052
2679,13182
2680,32907
2681,48036
2682,69627
2683,19603
2684,19000
2685,18097
2686,40465
2687,40099
2688,45919
2689,25281
2690,28117
2691,32400
2692,31766
2693,53531
2694,59131
2695,38408
2696,42977
2697,21639
2698,28462
2699,19311
2700,34256
2701,18534
2702,16586
2703,32110
2704,12821
2705,37097
2706,8538
2707,29280
2708,34495
2709,30593
2710,28866
2711,73904
2712,23213
2713,31038
2714,27308
2715,28762
2716,25672
2717,33100
2718,49723
2719,33483
2720,49854
2721,39317
2722,28589
2723,14071
2724,28047
2725,26405
2726,48963
2727,29742
2728,13729
2729,36491
2730,66247
2731,17705
2732,16462
2733,37350
2734,27587
2735,23559
2736,41650
2737,41755
2738,20920
2739,20147
2740,33918
2741,30990
2742,19173
2743,19580
2744,32822
2745,33150
2746,44706
2747,31591
2748,32387
2749,24192
2750,55866
2751,40496
2752,13410
2753,28572
2754,31717
2755,34405
2756,21839
2757,57304
2758,35910
2759,20115
2760,30026
2761,47141
2762,23637
2763,67793
2764,35304
2765,31079
2766,33417
2767,27380
2768,18027
2769,26785
2770,27914
2771,12500
2772,28989
2773,41012
2774,17529
2775,10338
2776,32955
2777,23386
2778,49706
2779,50603
2780,37550
2781,23356
2782,10568
2783,26256
2784,35500
2785,13000
2786,68622
2787,22472
2788,31097
2789,36473
2790,32334
2791,34685
2793,33985
2794,7927
2796,23125
2798,50274
2799,31280
2800,32935
2801,14764
2802,36927
2803,23672
2804,52263
2805,12250
