,price
665,36525
666,17045
667,21625
668,11186
669,30005
670,31709
671,11033
672,34710
673,22127
674,9011
675,8035
676,51042
677,21223
678,21692
679,30765
680,12000
681,49900
682,13262
683,15264
684,29108
685,23873
686,49699
687,33482
688,44630
689,21934
690,11429
691,22979
692,98197
693,21382
694,30348
695,17370
696,21432
697,24706
698,54967
699,13639
700,21359
701,23753
702,10870
703,9412
704,32231
705,24910
706,23766
707,31413
708,20708
709,26975
710,9432
711,11870
712,21445
713,30523
714,20361
715,9590
716,8823
717,18599
718,12348
719,32996
720,26062
721,15108
722,11276
723,34966
724,12715
725,78815
726,40852
727,19880
728,88577
729,55159
730,22063
731,15866
732,12038
733,23649
734,42247
735,57353
736,45665
737,9137
738,50013
739,13909
740,27961
741,21528
742,78018
743,15309
744,9630
745,23188
746,25433
747,48464
748,17243
749,18156
750,48493
751,23486
752,12273
753,19042
754,18940
755,48710
756,12927
757,44178
758,49483
759,12447
760,30865
761,14613
762,11047
763,27867
764,18814
765,35756
766,13641
767,92600
768,14006
769,34557
770,67948
771,51259
772,22312
773,12725
774,45113
775,65216
776,40525
777,29874
778,12543
779,20987
780,12207
781,72449
782,10522
783,37930
784,12667
785,143679
786,10986
787,11310
788,50313
789,33232
790,33774
791,11945
792,9366
793,60774
794,26793
795,11012
796,78501
797,9002
798,22128
799,42614
800,59635
801,55674
802,59734
803,56929
804,54255
805,54055
806,61790
807,62305
808,44468
809,53473
810,36977
811,65928
812,55792
813,71216
814,60603
815,71444
816,65695
817,68962
818,48948
819,56330
820,34486
821,58966
822,61371
823,74310
824,65279
825,70420
826,51811
827,63038
828,42774
829,61482
830,51843
831,53534
832,58395
833,54418
834,47418
835,64246
836,57185
837,60886
838,67472
839,56508
840,61895
841,61013
842,53770
843,72174
844,46803
845,53192
846,66835
847,64616
848,55724
849,62192
850,61482
851,75903
852,69885
853,71847
854,47487
855,67844
856,54756
857,61360
858,68145
859,44596
860,48560
861,58817
862,64999
863,59877
864,58883
865,69052
866,45697
867,59458
868,56712
869,57918
870,70019
871,66875
872,70563
873,50151
874,58626
875,70954
876,51288
877,47868
878,57983
879,73930
880,51753
881,51476
882,63887
883,64258
884,57672
885,61607
886,50377
887,67179
888,59518
889,67625
890,56196
891,55529
892,54003
893,66783
894,42135
895,65367
896,70621
897,59606
898,69482
899,48894
900,66772
901,63253
902,51025
903,64348
904,65282
905,61454
906,61886
907,56705
908,64094
909,55738
910,59282
911,58437
912,50482
913,71000
914,68360
915,62491
916,58204
917,56681
918,41965
919,52480
920,53572
921,64132
922,59970
923,58557
924,66805
925,43626
926,60232
927,68241
928,65577
929,74437
930,61383
931,61818
932,60230
933,66176
934,65567
935,64517
936,56158
937,58332
938,56744
939,63271
940,63460
941,63862
942,53636
943,50945
944,42412
945,67948
946,67804
947,49208
948,57063
949,65721
950,65399
951,51010
952,91984
953,73986
954,68176
955,69461
956,61804
957,62942
958,72005
959,68301
960,55422
961,68838
962,58901
963,53785
964,67602
965,55980
966,58232
967,68171
968,50655
969,57738
970,57424
971,74721
972,63814
973,56082
974,64352
975,73065
976,64827
977,48695
978,64810
979,70276
980,59201
981,63000
982,56758
983,59957
984,65124
985,66721
986,66014
987,85290
988,65903
989,52573
990,59070
991,71668
992,63077
993,55928
994,50692
995,67370
996,49026
997,46301
998,54715
999,61169
1000,51508
1001,61858
1002,74230
1003,44285
1004,60268
1005,51884
1006,53365
1007,42953
1008,69004
1009,80486
1010,48381
1011,50258
1012,51137
1013,52532
1014,55805
1015,63920
1016,54920
1017,67164
1018,48265
1019,53460
1020,47672
1021,66716
1022,53550
1023,61112
1024,68060
1025,69792
1026,67976
1027,46457
1028,53983
1029,46721
1030,61928
1031,53362
1032,58692
1033,80126
1034,70808
1035,60851
1036,53985
1037,65288
1038,53651
1039,51085
1040,58800
1041,58790
1042,58236
1043,44836
1044,54222
1045,59079
1046,69961
1047,51358
1048,61105
1049,71338
1050,51108
1051,61356
1052,69594
1053,69249
1054,69090
1055,50740
1056,58792
1057,55344
1058,54952
1059,71262
1060,50931
1061,54100
1062,57304
1063,52406
1064,51177
1065,56604
1066,58818
1067,67657
1068,51329
1069,55631
1070,53408
1071,54947
1072,62802
1073,76102
1074,54372
1075,68593
1076,54055
1077,49827
1078,79482
1079,45449
1080,41207
1081,66526
1082,62271
1083,67150
1084,90253
1085,60898
1086,62829
1087,56141
1088,52300
1089,65600
1090,73705
1091,44475
1092,69561
1093,63592
1094,73634
1095,68652
1096,71785
1097,76456
1098,68821
1099,60178
1100,46975
1101,53689
1102,47739
1103,74567
1104,55524
1105,61740
1106,60771
1107,68921
1108,76009
1109,64408
1110,50499
1111,59863
1112,58224
1113,50708
1114,61554
1115,47294
1116,48484
1117,78672
1118,52715
1119,67969
1120,87521
1121,50697
1122,69534
1123,52372
1124,45013
1125,57924
1126,56945
1127,46742
1128,60162
1129,57759
1130,69106
1131,54207
1132,50233
1133,70313
1134,62381
1135,71338
1136,55266
1137,70639
1138,46538
1139,59681
1140,54226
1141,65742
1142,58829
1143,58200
1144,70164
1145,55996
1146,59621
1147,72512
1148,51220
1149,71175
1150,59194
1151,67195
1152,61310
1153,61908
1154,63712
1155,61755
1156,57316
1157,56121
1158,68577
1159,52210
1160,61032
1161,74331
1162,68448
1163,44600
1164,64109
1165,64616
1166,61366
1167,79035
1168,62000
1169,58002
1170,55004
1171,64110
1172,70536
1173,59455
1174,54964
1175,81413
1176,71552
1177,61858
1178,77199
1179,50643
1180,51594
1181,51979
1182,61275
1183,63065
1184,75006
1185,48568
1186,82223
1187,42588
1188,44417
1189,45718
1190,55816
1191,69530
1192,43097
1193,51831
1194,50000
1195,44658
1196,41457
1197,69584
1198,88582
1199,59482
1200,71726
1201,47379
1202,62088
1203,60114
1204,62500
1205,45622
1206,72813
1207,69187
1208,66337
1209,59490
1210,54072
1211,73180
1212,55982
1213,50337
1214,61396
1215,54896
1216,51143
1217,67640
1218,64065
1219,54954
1220,66612
1221,51504
1222,74702
1223,68319
1224,52480
1225,57923
1226,48832
1227,88272
1228,83962
1229,53327
1230,71429
1231,60527
1232,79747
1233,60189
1234,51131
1235,58132
1236,96117
1237,68284
1238,70021
1239,50506
1240,64018
1241,69355
1242,50323
1243,43801
1244,44723
1245,58928
1246,67607
1247,54252
1248,60000
1249,67981
1250,65334
1251,56377
1252,54516
1253,52174
1254,63098
1255,70105
1256,56003
1257,51441
1258,47084
1259,58703
1260,64217
1261,66337
1262,50885
1263,47487
1264,51293
1265,76938
1266,70114
1267,66316
1268,71855
1269,66800
1270,69484
1271,58743
1272,49323
1273,59292
1274,80486
1275,57923
1276,61471
1277,70930
1278,61562
1279,42860
1280,93717
1281,52291
1282,66476
1283,54650
1284,52269
1285,80059
1286,66214
1287,47902
1288,73719
1289,78437
1290,76222
1291,54020
1292,61932
1293,55752
1294,55715
1295,41640
1296,48691
1297,70625
1298,56780
1299,70400
1300,68828
1301,68263
1302,54350
1303,47278
1304,48310
1305,63621
1306,68147
1307,51559
1308,53028
1309,79658
1310,43724
1311,64118
1312,89622
1313,68031
1314,49653
1315,65905
1316,49202
1317,70107
1318,66406
1319,52781
1320,64483
1321,62060
1322,75181
1323,46122
1324,64445
1325,50694
1326,72353
1327,62292
1328,76713
1329,73633
1330,42943
1331,51355
1332,63791
1333,48847
1334,62031
1335,62473
1336,65416
1337,64103
1338,73077
1339,61247
1340,62822
1341,73646
1342,54579
1343,40000
1344,60568
1345,51645
1346,56919
1347,59375
1348,63814
1349,71899
1350,77414
1351,65432
1352,90456
1353,52344
1354,54122
1355,50920
1356,48878
1357,77422
1358,74476
1359,70253
1360,55365
1361,60622
1362,61612
1363,70829
1364,58800
1365,58627
1366,70856
1367,61066
1368,67674
1369,54344
1370,54250
1371,73764
1372,48708
1373,50594
1374,65537
1375,62409
1376,49826
1377,83881
1378,68613
1379,62707
1380,45709
1381,61480
1382,61716
1383,66728
1384,54589
1385,71682
1386,45238
1387,75000
1388,52294
1389,69494
1390,61066
1391,63027
1392,45547
1393,66880
1394,61340
1395,50385
1396,47223
1397,45274
1398,65458
1399,50247
1400,79284
1401,41793
1402,62363
1403,59470
1404,66788
1405,65881
1406,76060
1407,54344
1408,77041
1409,136475
1410,71915
1411,75177
1412,50521
1413,65508
1414,51047
1415,72016
1416,57013
1417,81829
1418,60474
1419,48414
1420,61261
1421,60658
1422,70380
1423,63986
1424,78475
1425,90274
1426,59665
1427,59985
1428,43709
1429,75033
1430,63466
1431,56306
1432,67757
1433,89811
1434,55033
1435,64621
1436,35858
1437,79994
1438,64570
1439,49412
1440,88269
1441,52954
1442,51475
1443,66886
1444,50484
1445,60008
1446,49955
1447,79254
1448,39074
1449,60522
1450,68814
1451,61228
1452,84892
1453,68733
1454,79270
1455,52919
1456,76273
1457,54306
1458,67260
1459,77596
1460,69858
1461,51648
1462,76667
1463,59791
1464,54637
1465,122400
1466,60597
1467,48363
1468,74330
1469,59544
1470,93629
1471,71103
1472,55064
1473,56284
1474,54834
1475,61266
1476,50349
1477,83001
1478,78948
1479,67605
1480,64004
1481,56500
1482,65068
1483,84874
1484,59498
1485,61163
1486,49816
1487,56364
1488,66883
1489,47666
1490,59944
1491,67515
1492,79375
1493,51185
1494,53242
1495,74043
1496,87727
1497,67403
1498,53831
1499,50420
1500,62224
1501,44538
1502,60395
1503,56677
1504,76722
1505,40457
1506,52410
1507,51742
1508,48065
1509,51377
1510,52818
1511,73699
1512,73280
1513,66576
1514,83588
1515,93788
1516,43989
1517,54623
1518,44509
1519,120671
1520,55010
1521,48414
1522,55754
1523,48156
1524,53235
1525,69431
1526,43295
1527,71797
1528,46521
1529,66871
1530,50126
1531,56607
1532,61291
1533,53232
1534,51143
1535,72665
1536,79243
1537,59370
1538,51613
1539,42978
1540,59527
1541,49020
1542,55264
1543,65445
1544,57583
1545,45183
1546,66592
1547,71145
1548,69306
1549,40856
1550,71566
1551,52518
1552,79160
1553,61993
1554,62461
1555,73034
1556,52646
1557,39773
1558,51963
1559,52791
1560,58737
1561,106471
1562,72688
1563,57973
1564,44248
1565,72669
1566,64012
1567,87701
1568,65136
1569,59095
1570,64810
1571,66461
1572,75686
1573,41597
1574,63245
1575,68857
1576,75561
1577,54062
1578,51789
1579,44870
1580,68539
1581,58766
1582,57116
1583,57013
1584,73554
1585,65306
1586,55789
1587,66813
1588,53259
1589,45233
1590,49090
1591,88266
1592,55422
1593,53331
1594,55188
1595,42610
1596,46139
1597,50565
1598,42525
1599,63344
1600,61293
1601,63391
1602,70479
1603,65322
1604,89157
1605,74450
1606,60876
1607,96649
1608,45575
1609,50699
1610,62246
1611,45359
1612,63000
1613,114822
1614,58515
1615,86127
1616,57431
1617,71185
1618,61905
1619,55471
1620,83334
1621,74535
1622,69969
1623,53035
1624,42017
1625,66389
1626,55125
1627,72223
1628,65395
1629,57421
1630,77079
1631,78758
1632,75415
1633,90541
1634,65729
1635,124369
1636,76379
1637,53178
1638,62838
1639,46686
1640,42320
1641,72975
1642,72478
1643,46125
1644,43203
1645,57152
1646,50236
1647,45053
1648,102582
1649,63279
1650,51960
1651,77847
1652,55748
1653,67933
1654,50402
1655,57934
1656,75484
1657,63576
1658,59732
1659,86917
1660,82675
1661,64234
1662,63517
1663,46087
1664,64402
1665,50561
1666,53489
1667,48016
1668,74610
1669,93438
1670,56717
1671,59247
1672,59259
1673,78500
1674,84371
1675,66771
1676,62774
1677,58578
1678,53267
1679,50657
1680,62631
1681,73239
1682,46086
1683,47534
1684,46796
1685,63806
1686,78303
1687,61749
1688,65068
1689,70505
1690,76782
1691,62737
1692,50115
1693,84996
1694,59412
1695,53269
1696,61701
1697,118005
1698,55735
1699,58334
1700,76208
1701,79692
1702,62215
1703,71898
1704,85672
1705,60142
1706,73883
1707,47413
1708,52362
1709,65778
1710,62346
1711,56546
1712,43566
1713,49693
1714,52735
1715,37800
1716,44068
1717,92032
1718,52046
1719,47850
1720,73656
1721,62248
1722,62211
1723,75364
1724,70150
1725,48311
1726,59009
1727,40762
1728,47213
1729,153872
1730,71980
1731,42221
1732,106579
1733,74267
1734,50646
1735,46898
1736,58650
1737,61862
1738,55684
1739,69000
1740,45836
1741,45101
1742,90013
1743,55220
1744,54294
1745,76191
1746,64167
1747,78811
1748,54843
1749,52570
1750,45851
1751,61334
1752,58043
1753,78733
1754,78408
1755,80161
1756,35006
1757,67544
1758,50422
1759,44826
1760,53926
1761,42567
1762,52335
1763,56137
1764,51603
1765,75884
1766,47581
1767,60266
1768,75615
1769,63621
1770,65658
1771,70147
1772,51760
1773,77416
1774,47677
1775,63767
1776,53586
