,quyu,home_num,size,chaoxiang,jianzao,tags,city
177,0,2,63.3,0,1997.0,1,0
178,0,2,67.9,1,1996.0,1,0
179,2,3,87.9,0,2009.0,0,0
180,0,2,74.4,1,1996.0,1,0
181,2,3,90.1,0,1999.0,1,0
182,0,3,120.8,0,2011.0,1,0
183,2,2,89.6,0,2015.0,1,0
184,2,3,76.3,0,1988.0,0,0
185,0,5,269.3,3,2008.0,1,0
186,1,3,112.9,0,2002.0,1,0
187,1,2,66.0,1,1999.0,1,0
188,0,3,98.0,1,1992.0,1,0
189,0,3,113.1,0,2003.0,1,0
190,4,3,114.2,3,2000.0,1,0
191,0,4,133.7,0,2000.0,1,0
192,0,2,92.1,5,2003.0,1,0
193,0,3,130.0,7,2009.0,1,0
194,0,2,76.2,0,1996.0,1,0
195,0,5,190.7,0,2003.0,1,0
196,0,3,103.7,0,2007.0,1,0
197,0,3,90.0,0,1998.0,1,0
198,5,2,72.8,1,2014.0,0,0
199,2,2,84.7,1,2014.0,0,0
200,1,3,95.0,0,2000.0,1,0
201,0,3,86.7,3,2000.0,0,0
202,1,3,77.2,3,2000.0,1,0
203,0,2,53.3,9,2000.0,1,0
204,0,2,63.0,0,1992.0,1,0
205,0,3,92.6,0,1993.0,1,0
206,0,2,85.0,0,2000.0,1,0
207,0,5,212.6,0,2007.0,1,0
208,0,2,63.0,0,1996.0,1,0
209,1,2,71.6,1,2000.0,1,0
210,2,3,111.5,0,2000.0,1,0
211,1,2,86.0,1,2000.0,1,0
212,0,2,82.9,0,1996.0,1,0
213,1,2,69.4,1,2000.0,1,0
214,0,3,90.0,0,2000.0,1,0
215,1,4,178.0,0,2014.0,0,0
216,1,3,115.5,0,1994.0,1,0
217,0,3,103.5,0,1990.0,1,0
218,1,3,115.5,0,2000.0,1,0
219,0,2,97.8,1,2007.0,1,0
220,5,4,183.0,0,2015.0,0,0
221,0,2,64.2,0,1993.0,1,0
222,0,2,60.1,0,1986.0,1,0
223,0,2,51.6,0,1981.0,1,0
224,5,3,86.4,1,2018.0,0,0
225,3,2,74.2,1,2017.0,0,0
226,1,3,73.9,1,2000.0,1,0
227,1,2,73.0,1,2000.0,1,0
228,1,4,98.0,0,2000.0,1,0
229,0,2,71.5,0,1995.0,1,0
230,1,2,64.3,0,1995.0,1,0
231,3,2,85.7,1,2009.0,0,0
232,3,3,120.2,0,2004.0,0,0
233,1,2,84.8,0,2001.0,1,0
234,5,3,101.0,0,2017.0,0,0
235,0,2,74.6,0,2000.0,1,0
236,6,3,86.3,0,2016.0,0,0
237,0,4,126.3,0,2006.0,1,0
238,1,3,99.7,1,2002.0,1,0
239,0,1,45.8,0,1991.0,1,0
240,0,2,66.1,0,2007.0,1,0
241,1,2,71.2,1,2000.0,1,0
242,0,2,87.8,2,2016.0,1,0
243,5,4,116.3,2,2017.0,0,0
244,1,3,113.8,0,2000.0,1,0
245,5,2,76.9,1,2015.0,1,0
246,6,3,72.6,0,2009.0,0,0
247,3,2,74.2,1,2017.0,0,0
248,0,2,65.0,0,1995.0,1,0
249,2,3,74.1,0,2004.0,0,0
250,0,2,66.5,1,2006.0,1,0
251,1,3,80.7,0,2016.0,1,0
252,1,2,72.6,1,2000.0,1,0
253,0,2,62.7,0,1987.0,1,0
254,0,1,51.4,2,2005.0,1,0
255,1,2,62.1,0,2000.0,1,0
256,0,3,106.3,0,1999.0,1,0
257,1,3,106.6,0,2000.0,1,0
258,1,3,86.5,0,2000.0,1,0
259,0,5,134.1,0,2004.0,1,0
260,0,6,217.1,0,2005.0,1,0
261,0,1,58.9,5,2009.0,1,0
262,0,4,155.9,0,1999.0,1,0
263,1,2,83.6,1,2008.0,1,0
264,1,3,133.5,0,2003.0,1,0
265,0,5,190.5,0,2000.0,1,0
266,5,2,78.8,0,2015.0,0,0
267,1,3,85.7,1,2009.0,1,0
268,1,3,87.0,1,2000.0,1,0
269,1,2,77.7,8,2007.0,1,0
270,1,4,93.0,0,2018.0,1,0
271,0,3,116.4,0,1996.0,1,0
272,0,3,91.8,0,1998.0,1,0
273,0,2,50.8,0,1987.0,1,0
274,1,3,78.0,0,1994.0,1,0
275,0,6,297.2,0,2005.0,1,0
276,0,2,61.8,0,1986.0,1,0
277,0,2,84.0,0,2007.0,1,0
278,1,3,77.2,1,2000.0,1,0
279,0,3,99.0,0,2000.0,0,0
280,1,2,72.0,1,2000.0,1,0
281,1,4,85.4,0,2010.0,1,0
282,0,2,43.2,0,1983.0,1,0
283,0,3,56.0,0,2009.0,1,0
284,0,3,93.8,0,1999.0,1,0
285,2,2,80.4,0,2020.0,1,0
286,3,2,74.2,1,2017.0,0,0
287,1,2,71.4,1,2018.0,1,0
288,0,2,78.7,0,1998.0,1,0
289,1,4,103.8,0,2006.0,1,0
290,0,4,133.9,0,2001.0,1,0
291,0,3,114.5,0,2004.0,1,0
292,1,2,73.1,1,2000.0,1,0
293,0,2,48.6,0,1991.0,1,0
294,0,4,133.5,0,2018.0,1,0
295,1,3,72.8,0,2000.0,1,0
296,1,3,122.0,1,1997.0,1,0
297,0,2,53.8,0,2008.0,1,0
298,0,3,135.6,0,2000.0,1,0
299,1,2,88.0,0,1997.0,1,0
300,6,2,71.0,1,2016.0,0,0
301,1,4,118.7,4,2003.0,1,0
302,0,2,105.9,0,2003.0,1,0
303,0,2,73.0,0,2000.0,1,0
304,6,3,118.0,1,2009.0,0,0
305,6,2,65.4,0,2010.0,0,0
306,0,2,89.5,5,2003.0,1,0
307,1,3,57.0,0,2007.0,1,0
308,0,3,120.5,5,1998.0,1,0
309,0,2,64.6,0,2003.0,1,0
310,4,2,89.7,0,2010.0,1,0
311,0,3,115.2,0,2005.0,1,0
312,1,3,95.8,0,1998.0,1,0
313,4,3,90.5,0,2010.0,1,0
314,0,4,150.1,0,1997.0,1,0
315,1,3,88.3,0,2016.0,1,0
316,0,3,136.8,2,2015.0,1,0
317,6,3,108.0,0,2015.0,0,0
318,1,3,106.3,1,2017.0,1,0
319,0,3,104.0,3,1992.0,1,0
320,1,2,73.6,0,2000.0,1,0
321,1,4,131.6,1,2000.0,1,0
322,1,3,81.0,0,1999.0,1,0
323,2,3,89.1,0,2015.0,1,0
324,0,3,125.0,0,2002.0,1,0
325,0,3,156.6,0,2007.0,1,0
326,1,2,89.9,3,1996.0,1,0
327,1,2,58.1,1,1996.0,1,0
328,0,4,124.5,0,1997.0,1,0
329,0,3,151.5,3,2002.0,1,0
330,0,3,133.8,2,2005.0,1,0
331,1,3,125.8,0,2000.0,1,0
332,1,2,95.3,4,2010.0,1,0
333,1,3,96.6,0,2010.0,1,0
334,1,3,135.3,0,2010.0,1,0
335,2,3,82.8,1,2005.0,1,0
336,0,1,42.5,0,1976.0,1,0
337,0,3,104.7,0,2002.0,1,0
338,1,2,51.3,2,2004.0,1,0
339,1,3,101.3,1,2000.0,1,0
340,0,4,93.2,0,1998.0,1,0
341,0,3,158.9,0,2014.0,1,0
342,2,3,125.9,1,2014.0,1,0
