标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
南山路 08年小区源昌豪庭 送露台 房东诚售,547.0,54553,源昌豪庭Ⅱ期,湖里,3,100.3,南,2015,"['南', '满二年', '近地铁', '车位充足']"
金尚小区 南北通透 精装修 电梯大三房 诚售,520.0,52664,金尚小区,湖里,3,98.7,南北,1999,"['南北', '满五年', '近地铁']"
故宫路上段思北小正规2房2厅1卫出售,500.0,64826,太平妈街小区,思明,2,77.1,南北,1993,"['南北', '满五年', '近地铁']"
石泉路 采光好 独立院子 户型方正 南北通透,530.0,65651,石泉路19-29号小区,思明,3,80.7,南北,1995,"['南北', '满五年', '近地铁']"
电业小区 3室1厅 东南,526.0,74085,电业小区(西区),思明,3,71,东南,1998,"['东南', '近地铁', '车位充足']"
莲花公园边上鹭江 菡青大厦 电梯三房 东南 中装全套,658.0,61698,菡菁大厦,思明,3,106.7,南北,2018,"['南北', '满二年', '近地铁', '车位充足']"
松柏 省税 框架 东南北三面采光 中间层 0公摊 诚售可谈,588.0,55953,长青综合楼,思明,3,105.1,南北,1997,"['南北', '满五年', '近地铁']"
松柏封闭式小区 刚需两房 好楼层 不临街 交通购物方便,345.0,69000,松岳小区(北区),思明,2,50,南北,1999,"['南北', '满五年', '近地铁']"
前埔南小区(店上东里)2室2厅1卫72.78平,368.0,50564,前埔南小区(店上东里),思明,2,72.8,南北,2000,"['南北', '满五年', '配套成熟']"
二实小 一中 铁路公园旁 精装2房 南北通透 户型赞420万,420.0,63637,育青路17-23号楼,思明,2,66,南北,1995,"['南北', '满五年', '近地铁', '车位充足']"
江头公园旁，送200平独立使用露台，精装修五房,790.0,59185,东方威尼斯,湖里,5,133.5,南北,2005,"['南北', '满二年', '近地铁']"
满五年 正南向 二室二厅 高端装修 枋湖,588.0,67719,联发欣悦园,湖里,2,86.8,南,2013,"['南', '有电梯', '近地铁']"
将军祠万寿路边三房两厅一卫一阳一厨诚意出售,800.0,88889,万寿山铁路小区,思明,3,90,南北,2005,"['南北', '满二年', '近地铁']"
满五年 南北向 三室二厅 精装修 文灶,520.0,51161,文屏山庄(二期),思明,3,101.6,南北,2003,"['南北', '近地铁']"
将军祠万寿路 二小旁98年框架社区 南北通透 文园公寓,650.0,64722,文园公寓,思明,3,100.4,南北,1998,"['南北', '近地铁']"
急售白鹭洲公园附近04年自住精装电梯2房,316.0,64928,新嘉园,思明,2,48.7,西,2004,"['西', '满二年', '近地铁', '车位充足']"
厦成海景花园 高层 花园式海景3房 住家舒适度高 采光好,1040.0,76533,厦成海景花园,思明,3,135.9,东西,2001,"['东西', '满五年', '近地铁', '绿化率高']"
滨北筼筜湖市府旁地铁口 朝南大2房 居家装修 双阳台 安静,710.0,74580,海湾新城,思明,2,95.2,西南,2005,"['西南', '满五年', '近地铁']"
滨北市府旁地铁口 世纪海湾 高层 2房 拎包入住 位置安静,530.0,78091,海湾新城,思明,2,67.9,西,2005,"['西', '满二年', '近地铁']"
16年小区，罗宾森二期，厅带阳台朝南，正规一房一厅,378.0,79047,罗宾森璀璨新城(二期),思明,1,47.8,西南,2015,"['西南', '有电梯', '近地铁', '车位充足']"
源昌君悦山 前排大3房 自住精装 直接入住,1028.0,75350,源昌君悦山,思明,3,136.4,南北,2015,"['南北', '满二年', '近地铁', '车位充足']"
看房随时，边套高层朝南，楼下万象城地铁口，出行方便,390.0,81183,罗宾森璀璨新城(二期),思明,1,48,东南,2016,"['东南', '有电梯', '近地铁', '车位充足']"
民立旁 电梯2房 可改3房 550万 南场,550.0,67188,南中广场公寓,思明,2,81.9,西南,2009,"['西南', '满五年', '近地铁']"
前埔文兴东一里 框架两房朝南 小区中庭 交通方便 全明,350.0,51760,前埔南区文兴东一里,思明,2,67.6,南北,2000,"['南北', '满五年', '近地铁']"
滨北 玫瑰园 万禾春天 仙岳山庄精装3房2厅2卫 欧式装修,608.0,59162,仙岳山庄(公寓住宅),思明,3,102.8,南北,2002,"['南北', '满二年', '近地铁', '绿化率高']"
豪装大四房 双阳台 边套 四面采光 视野采光好 拎包入住,1075.0,63746,海峡国际天璟,思明,4,168.6,南北,2019,"['南北', '满二年', '近地铁', '绿化率高']"
二号地铁口 天宝花园 精装三房 南北通透 边套全明户型采光好,425.0,41586,天宝花园(一期),湖里,3,102.2,南北,2000,"['南北', '满二年', '近地铁', '车位充足']"
瑞景新村，精装修3房，送花园送车位,695.0,71348,瑞景新村祥驎苑,思明,3,97.4,南北,1999,"['南北', '满五年', '近地铁', '车位充足']"
104平 满二 住房 精装修 3室2厅 楼层好 视野无遮挡,515.0,49118,中交和美新城(公寓住宅),集美,3,104.9,南北,2020,"['南北', '满二年', '近地铁', '车位充足']"
满二 4室2厅 南北通透 电梯房 中交和美新城(公寓住宅),515.0,54103,中交和美新城(公寓住宅),集美,4,95.2,南北,2016,"['南北', '满二年', '近地铁', '车位充足']"
价格过低 发不上去 详情请拿刀咨询我 懂的来,338.0,67736,海联中心综合楼,思明,2,49.9,南北,2000,"['南北', '满二年', '近地铁']"
豪华装修4房，东南向，家庭影院KTV，高层采光好，全明格局,768.0,56396,金盛大厦,湖里,4,136.2,东南,2000,"['东南', '满五年', '近地铁', '车位充足']"
急售 中间楼层2楼 有钥匙随时看房 古楼北里,435.0,50582,古楼北里,思明,3,86,东南,2003,"['东南', '满五年', '配套成熟']"
玉滨城一期 电梯高层 精装大三房 空户 实小 业主急售,1298.0,94195,玉滨城(一期),思明,3,137.8,东南,1998,"['东南', '满二年', '近地铁']"
海峡国际天璟 朝南 豪华装修 厅带落地大窗 全新配套齐全,990.0,62878,海峡国际天璟,思明,3,157.5,南,2018,"['南', '满二年', '近地铁', '绿化率高']"
满二年 南北向 二室一厅 精装修,518.0,79644,盈翠里12-40号小区,思明,2,65,南北,1998,"['南北', '近地铁']"
中山医院附近外国语二号线地铁口南北三房两两卫一阳台,768.0,87273,湖滨南路248号小区,思明,3,88,南北,1993,"['南北', '满五年', '近地铁']"
