标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签
带小区 故宫小旁 南北通透 3房 三面采光 双阳台,468.0,61547,邮政宿舍(湖滨南路),思明,3,76,南北,1990,"['南北', '满五年', '近地铁']"
塘边地铁口 邮电局宿舍 精装三房 南北 全明户型 出价就卖,328.0,46858,塘边邮电局宿舍,湖里,3,70,南北,2000,"['南北', '近地铁']"
送独立露台 文灶BRT地铁口 南北全明精装3房 厅带阳台朝南,378.0,58705,厦门粮食集团油厂公寓,思明,3,64.4,南北,1999,"['南北', '满五年', '近地铁', '车位充足']"
集美新城 地铁口 南北通透 户型 精装修,420.0,37169,保利联发锦上,集美,3,113,南,,"['大户型', '购物中心', '高绿化率']"
禾祥西 新家园边 一梯两户 南北 花园式小区2房可改3房,658.0,67150,禾祥苑,思明,2,98,南北,1998,"['南北', '满五年', '近地铁']"
地铁口00年电梯3房 公园旁 南北双阳台 豪装看房方便,486.0,51078,南山公寓(东区),湖里,3,95.2,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
可改三房 小区中庭 门口 ，地铁 公园 芙蓉苑永升新城旁,320.0,41635,怡景花园,湖里,2,76.9,南北,1994,"['南北', '满二年', '近地铁']"
精装。近地铁！有而外折扣！包你满意！老总跟我是朋友！,410.0,33607,中海左岸澜庭,集美,4,122,南,,"['南北通透', '厨卫全明', '双卫生间', '轨交房']"
电梯高层精装修大三房湖里中心 湖里中学,450.0,45000,鹭辉大厦,湖里,3,100,南,2000,"['南', '热门小区', '近地铁', '稀缺户型']"
急售 万达旁，翔鹭花城三期 高装三房 厅带阳台 满五省税,370.0,46049,翔鹭花城三期,湖里,3,80.4,南北,2008,"['热门小区', '南北通透', '房东急售']"
正南 3室2厅 豪华装修,575.0,64709,宝龙中心(一期),思明,3,88.9,南,2000,"['南', '满二年', '近地铁', '车位充足']"
ins奶油风 复式3室2厅 动静分离 企业力荐,408.0,89809,官邸大厦,思明,3,45.4,南,2005,"['南', '满五年', '近地铁', '多人关注']"
翔安隧道口 2023年热盘 新房 专车接送,350.0,39326,保利中交雲上(新房),翔安,3,89,南,,[]
康乐一小 湖里中学 满五 精装2房 地铁口 随时看房 急,320.0,47662,万景花园,湖里,2,67.1,南,1997,"['南', '近地铁']"
保税区悦星园 精装2房 房东诚意出售价格空间很大 看房方便,328.0,47495,悦星园,湖里,2,69.1,东,2003,"['东', '满二年', '近地铁']"
近地铁口，永升新城，72平南北通透两房，小区中庭，中间楼层,338.0,46711,永升新城,湖里,2,72.4,南,2002,"['南', '满五年', '近地铁']"
公元九里 4室2厅2卫 127m 朝南 约450万,450.0,35434,公元九里(新房),翔安,4,127,南,,"['大阳台', '双卫生间', '主卧套房']"
思北源隆花园 正南北通透130平 电梯4房2厅零公摊一梯两户,878.0,67763,源隆花园,思明,4,129.6,南北,1999,"['南北', '满二年', '近地铁', '车位充足']"
客厅带阳台，火炬园站地铁口 南北通 3楼 小区中庭 停车方便,379.0,43826,永升新城,湖里,3,86.5,南北,2000,"['南北', '满五年', '近地铁', '多人关注']"
禹洲新村电梯3房可改四房 康乐一小湖里中 全明朝南 看中可谈,588.0,44886,禹洲新村,湖里,3,131,东南,1997,"['东南', '满五年', '近地铁']"
中旅海玥 4室2厅2卫 109m 朝南 约440万,440.0,40367,中旅海玥(新房),同安,4,109,南,,"['南北通透', '厨卫全明', '主卧套房', '高绿化率']"
sm永升芙蓉苑天安，实验中 学电梯高层满五 好房价低,380.0,41865,铭爵山庄,湖里,3,90.8,东南,2002,"['东南', '满五年', '近地铁']"
康乐一小地铁口旁 精装修大三房厅带阳台朝南 业主急售换房,468.0,41278,台北新村,湖里,3,113.4,东西,2000,"['东西', '满二年', '近地铁', '车位充足']"
满五年 南北向 三室二厅 高端装修 思北,1198.0,88050,嘉盛海景大厦,思明,3,136.1,南北,2004,"['南北', '热门小区', '价格优惠']"
急卖！翔鹭花城 高层电梯大三房 前后中庭全明 双阳台 采光好,468.0,45677,翔鹭花城(二期),湖里,3,102.5,南北,2007,"['南北', '满五年', '近地铁', '多人关注']"
新房专车接送 享受不一样的服务,430.0,33859,保利首开云禧,海沧,4,127,南,,"['南北通透', '厨卫全明', '主卧套房', '高绿化率']"
南北通透 2室2厅 企业力荐好房诚意出售,358.0,48158,浦南新村,思明,2,74.3,南北,2000,"['南北', '近地铁']"
永升新城旁边芙蓉苑 正规2房一梯两户南北通透,290.0,40172,芙蓉苑,湖里,2,72.2,南北,2000,"['南北', '唯一住房', '近地铁', '多人关注']"
江头地铁站朝南小三房 电梯中层无遮挡光线好 看房有锁,398.0,44906,泰和大厦,湖里,3,88.6,东南,2006,"['东南', '满五年', '近地铁']"
翔安隧道口一手新房 单价两万多 专车接送！,289.0,29192,保利国贸沁原,翔安,3,99,南,,[]
思北BRT旁 07年花园式小区 大同小 南北全明层高3.2米,1050.0,76542,源昌国际城(二期),思明,3,137.2,南北,2007,"['南北', '满二年', '近地铁']"
满五 正南 3室2厅,168.0,19148,乐活小镇,集美,3,87.7,南,2009,"['南', '热门小区', '配套成熟', '稀缺户型']"
思北 BRT旁 南北通透 3房 双阳台 精装修,1038.0,75267,假日香港广场,思明,3,137.9,南北,2008,"['南北', '配套成熟', '房东急售', '随时可看']"
正南 2室2厅 精装修,398.0,79505,九龙城,思明,2,50.1,南,2000,"['南', '房东诚售', '满五年', '近地铁']"
翔安南部新城 双地铁口 联发品质 精装交付 厅带外阳台,429.0,36983,联发君领学府(新房),翔安,4,116,南,,"['厨卫全明', '大阳台', '双卫生间']"
正南 4室2厅 精装修,538.0,55665,中交和美新城(公寓住宅),集美,4,96.7,南,2019,"['南', '满二年', '近地铁', '车位充足']"
电梯2房 康乐一小湖里中学 高层采光视野好 看房有锁价格可谈,338.0,51120,仙洞山庄,湖里,2,66.1,东,1996,"['东', '满五年', '近地铁']"
莲花流芳里 业主自住高装全套家具家电3房一厅中间楼层看房有锁,538.0,56230,流芳里1-65号小区,思明,3,95.7,南,1992,"['南', '满二年', '近地铁']"
翔安南部新城，双地铁国际开发商打造高挡社会 周边生活配套成熟,510.0,41464,IOI棕榈国际住区(新房),翔安,4,123,南,,"['复式', '大户型']"
精装修，高层，业主降价40万，急售换房诚意出售,660.0,53321,莲花广场,思明,3,123.8,西南,2001,"['西南', '近地铁', '公摊小', '价格优惠']"
南北通透 2室1厅 企业力荐好房诚意出售,410.0,65706,屿后南里423-449号小区,思明,2,62.4,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
二市豪宅中式豪宅三房 送约30平入户 西南向 全景落地窗,1154.0,66231,君临宝邸,思明,3,174.2,西南,2010,"['西南', '满五年', '近地铁']"
专车接送 享团购优惠,319.0,29000,翔安后村TOD璞安,翔安,4,110,南,,"['大户型', '轨交房']"
思明 旁思明苑3室2厅 90平 楼层好自住装修,588.0,64382,思明苑,思明,3,91.3,西南,1990,"['西南', '满五年', '近地铁']"
禾祥西路白鹭花园带电梯空中花园92.96平居精装三房教科院小,618.0,66481,白鹭花园公寓,思明,3,93,南北,2000,"['南北', '满二年', '近地铁']"
卧龙BRT旁124平570万豪装大三房，南北通透，小区有电梯,570.0,45968,香榭园,思明,3,124,南北,2000,"['南北通透', '配套成熟', '价格优惠']"
低于行情价！！价可谈 满二省税双空 位置安静 滨海一中 有锁,313.0,29448,特房银溪墅府图尔花园,同安,3,106.3,南北,2018,"['热门小区', '南北通透', '房东急售']"
一手新房 专车接送 内部团购价,365.0,38021,联发臻荣府,集美,3,96,南,,"['南北通透', '厨卫全明', '主卧套房', '高绿化率']"
连前 龙山山庄 厅带阳台朝南 楼层好 拎包,508.0,57656,龙山山庄(一期),思明,3,88.1,南北,1997,"['南北通透', '稀缺户型', '房东急售']"
急急急急急 恒丰花园电梯3房 带装修上华昌湖中 价格你说了算,430.0,47284,恒丰花园(二期),湖里,3,90.9,西南,2003,"['西南', '满五年', '近地铁', '多人关注']"
前埔健身公园，绿洲花园，封闭式小区，精装3房，拎包入住有钥匙,416.0,50560,绿洲花园,思明,3,82.3,南北,2000,"['南北', '满二年', '近地铁', '车位充足']"
大悦城 首付120万精装4房 园博园边1号地铁口,404.0,40000,住宅水晶地铁公元(新房),集美,3,101,南,,"['轨交房', '车位充足']"
槟榔03年房龄，住家30万婚装，3楼，150万首付就够,479.0,62977,"福津大街五,六节点",思明,2,76.1,东北,2003,"['东北', '满五年', '近地铁']"
2室1厅 企业力荐好房诚意出售,589.0,80774,鸿山新村,思明,2,72.9,东北,2008,"['东北', '近地铁', '配套成熟', '价格优惠']"
天源全屋大理石总价还真的很低的房子 还精装修三室两厅双阳台,468.0,40835,天源(B区公寓住宅),海沧,3,114.6,南北,2016,"['南北', '满五年', '近地铁', '车位充足']"
海峡国际社区三房 仅需7开头 幸福,785.0,87710,海峡国际社区(二期),思明,3,89.5,西南,2011,"['西南', '热门小区', '价格优惠', '房东急售']"
建发叁里云庐多种户型均价约31000元,388.0,31040,建发叁里云庐,翔安,4,125,南,,"['南北通透', '厨卫全明', '双卫生间']"
地铁口 小区中庭 三面采光 南北通透 全明户型 随时看房 急,290.0,39727,芙蓉苑,湖里,2,73,南北,1999,"['南北', '满五年', '近地铁']"
省税 卧龙晓城 大落地窗 自住装修 拎包,600.0,63138,卧龙晓城,思明,2,95,南,2003,"['南', '满五年', '近地铁']"
绿苑新城低总价简装二房,386.0,43168,绿苑新城一组团,海沧,2,89.4,南,2011,"['南', '热门小区', '价格优惠', '交易周期可谈']"
公寓住宅 4室2厅2卫 131m 朝南 约460万,460.0,35115,首开九珑岸,同安,4,131,南,,"['大户型', '高绿化率']"
房源采光好，南北通透，业主诚意出,560.0,80902,鸿山大厦,思明,3,69.2,东北,1993,"['东北', '热门小区', '近地铁', '配套成熟']"
电梯高层朝南2房 阳光充足 全明好户型 有钥匙,365.0,56590,前埔南区文兴东一里,思明,2,64.5,西南,2000,"['西南', '满五年', '近地铁']"
禾祥西豆仔尾 花园小区 1房轻松改2房 厅带阳台朝南,480.0,81412,富华广场,思明,1,59,南,2006,"['南', '满二年', '近地铁']"
要叠墅的看过来！国企品质！看一套爱一套！,518.0,35973,首创禧瑞风华(新房),翔安,4,144,南,,"['主卧套房', '大户型', '低容积']"
朝南 简单装修 满五 84平 房东急置换 诚意买房,236.0,27976,华澳花园,海沧,2,84.4,南,2002,"['南', '满五年', '近地铁', '车位充足']"
3室1厅 企业力荐好房诚意出售,628.0,62179,城市花园,思明,3,101,东南,1997,"['东南', '满五年', '近地铁']"
2室2厅 精装修 企业力荐好房诚意出售,406.0,44843,泉舜滨海上城,海沧,2,90.5,东南,2000,"['东南', '近地铁', '配套成熟', '公摊小']"
集美新城 精装3房 拎包入住 满两年 龙湖春江郦城,340.0,38079,龙湖春江郦城(一期),集美,3,89.3,南,2016,"['南', '满二年', '近地铁', '车位充足']"
环东金茂悦云湾4室2厅2卫 127m 朝南 约368万,356.0,28032,环东金茂悦云湾,同安,4,127,南,,"['南北通透', '厨卫全明', '大阳台']"
温馨家园小区 南北通透 3室2厅 73平 房东置换 诚意卖,370.0,50136,莲坂军休所小区,思明,3,73.8,南北,1993,"['南北', '满二年', '近地铁']"
地铁口南北通透 3室2厅 精装修,270.0,30114,翔城国际(二期),翔安,3,89.7,南北,2000,"['南北', '近地铁', '人气热搜']"
南北通透 3室2厅 精装修,910.0,78408,厦成海景花园,思明,3,116.1,南北,2000,"['南北', '满五年', '近地铁', '绿化率高']"
地铁口5米双十旁精装修招商花园城商业围绕南北双阳台,396.0,36000,建发招商璟云,海沧,4,110,南,,"['南北通透', '双卫生间', '双阳台', '轨交房']"
可传承豪宅，璟湾二十八玺，500平地下室300平花园,6500.0,118064,璟湾二十八玺,思明,4,550.6,东南,2012,"['东南', '房东急售', '随时可看']"
3室2厅 企业力荐好房诚意出售,335.0,37616,中航城国际社区(C区北区),集美,3,89.1,东南,2010,"['东南', '近地铁']"
华昌 湖里中学 南北通透双阳台使用100平 边套全明三房,365.0,41478,兴湖花园,湖里,3,88,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
国贸天悦边套3房 精装修 南北通透 地铁旁,439.0,35053,国贸天悦(一期),集美,3,125.2,南,2015,"['南', '近地铁', '车位充足']"
再降40万刚需房 建发品质 南北户型方正 火车站低总价 诚售,551.0,52149,建发花园(二期),思明,3,105.7,南北,2002,"['南北', '满五年', '近地铁']"
南北通透 5室2厅 精装修,1488.0,85371,罗宾森璀璨新城(二期),思明,5,174.3,南北,2015,"['南北', '有电梯', '近地铁', '车位充足']"
万科金域华府二期3居地铁电梯,338.0,38427,万科金域华府(二期),集美,3,88,南北,2013,"['热门小区', '南北通透', '配套成熟']"
地铁口，南山路，泰裕新城，123平南北通透全明三房，诚意出售,528.0,42788,泰裕新城,湖里,3,123.4,南北,2005,"['南北', '满五年', '近地铁']"
思北花园社区 高层看湖 270度大阳台 刚需3房 户型方正,788.0,77743,华侨海景城,思明,3,101.4,西北,2007,"['西北', '满二年', '近地铁']"
西雅图 南北通透 2室2厅 好房诚意出售,295.0,29336,西雅图,海沧,2,100.6,南北,2016,"['南北', '满二年', '近地铁', '车位充足']"
正南 3室1厅 精装修,616.0,50253,第二城快乐天地,湖里,3,122.6,南,2000,"['南', '有电梯', '近地铁']"
东部会展旁 桥头堡 进岛方便 双地铁口 近,450.0,35434,公元九里(新房),翔安,4,127,南,,"['大阳台', '双卫生间', '主卧套房']"
楼中楼 08年 社区源昌豪庭带车库总价1028万还可谈,1028.0,56758,源昌豪庭(一期),湖里,6,181.1,南北,2007,"['南北', '有电梯', '近地铁', '多人关注']"
海天路华昌小区，单价底！！总价低！！，业主诚意卖房，换房急售,310.0,41109,华昌小区,湖里,3,75.4,南,2000,"['南', '满二年', '近地铁', '车位充足']"
古楼南里2室2厅1卫75.37平,378.0,50166,古楼南里,思明,2,75.4,南北,2000,"['南北通透', '房东急售', '随时可看']"
小区中庭，前后开阔视野，边套全明，好格局,338.0,47593,南山小区,湖里,2,71,南北,1996,"['南北', '满二年', '近地铁']"
集美新城 软件电子中心旁 地铁口 湖景跑道 世贸ioi双商场,420.0,37169,保利联发锦上,集美,3,113,南,,"['大户型', '购物中心', '高绿化率']"
塘边地铁口 总裁行馆 源昌豪庭 跃四层 精装五房 双车位,1588.0,87287,源昌豪庭(一期),湖里,5,181.9,南北,2000,"['南北', '满五年', '近地铁', '多人关注']"
环东海域金都保利，边套带弧形大阳台，有软带二次装修,405.0,37780,保利叁仟栋(一期公寓住宅),同安,3,107.2,南北,2017,"['南北', '满二年']"
夏商新纪元 满2年 海景房 3房2厅1卫 急售,212.0,25838,夏商新纪元(二期),集美,3,82.1,南北,2019,"['南北', '热门小区', '配套成熟', '随时可看']"
南北通透 2室1厅 精装修,209.0,25560,亚桥花园,海沧,2,81.8,南北,2002,"['南北', '近地铁', '绿化率高', '多人关注']"
海天路南山小区 精致两房中心小 湖里中学 很实惠的一套,328.0,52014,南山小区,湖里,2,63.1,南北,1996,"['南北', '满二年', '近地铁']"
文兴东三里 处长楼 南北双阳台 中间楼层 看房方便,535.0,45072,文兴东三里,思明,3,118.7,南北,2000,"['南北', '满五年', '配套成熟']"
莲坂地铁 送80平露台实用350平 电梯看海俯瞰厦门豪装全明,1288.0,61121,莲富大厦,思明,4,210.7,南北,2002,"['南北', '满五年', '近地铁', '车位充足']"
保税区三航公寓 大3房送40万装修 拎包入住南北全明价格好谈,438.0,42682,三航公寓,湖里,3,102.6,南北,1998,"['南北', '满二年', '近地铁']"
千亿环东海 未来五缘湾 浪漫海岸线 一线海景房299万三房,295.0,30742,保利叁仟栋(一期公寓住宅),同安,3,96,南,2016,"['南', '满二年', '多人关注']"
华林花园三期电梯高层115平精装诚售,650.0,56273,华林花园三期,思明,3,115.5,南北,2004,"['南北', '满五年', '近地铁']"
集美新城橡树湾3期高层精装修 89平3室才312万,312.0,35167,橡树湾(三期),集美,3,88.7,南北,2016,"['南北', '满二年', '近地铁', '车位充足']"
满二年 正南向 一室一厅 高端装修,598.0,102538,海峡国际社区(二期),思明,1,58.3,南,2011,"['南', '有电梯', '近地铁', '绿化率高']"
镇海路双十中学边上3房看房方便,590.0,76505,民盛大厦,思明,3,77.1,东西,1996,"['东西', '满五年', '近地铁']"
满二年 正北向 一室一厅 高端装修 会展中心,575.0,100666,海峡国际社区(二期),思明,1,57.1,北,2011,"['北', '热门小区', '配套成熟', '价格优惠']"
国贸新城3室2厅2卫127.8平,598.0,46792,国贸新城,思明,3,127.8,南北,2001,"['南北', '满五年', '近地铁']"
建在地铁上的公寓 精装三房两卫 双国企打造 六位一体豪华配套,404.0,40000,住宅水晶地铁公元(新房),集美,3,101,南,,"['轨交房', '车位充足']"
满五年 东西向 四室二厅 高端装修,1480.0,82300,海峡国际社区(二期),思明,4,179.8,东西,2011,"['东西', '有电梯', '近地铁', '绿化率高']"
捡漏！莲坂万象城双地铁 免个税 01年小区西南北精装全明3房,475.0,55511,厦门医药站宿舍,思明,3,85.6,南北,2002,"['南北', '满五年', '近地铁', '多人关注']"
沿海一排 精装两房 急售459万 看房随时 业主急售,458.0,46850,彼岸Patio,海沧,2,97.8,东,2000,"['东', '有电梯', '近地铁']"
二市BRT特房尊府 闹市区中的净土 精装四房 仅需1520万,1700.0,91808,特房尊府,思明,4,185.2,南北,2007,"['南北', '满五年', '近地铁', '绿化率高']"
电梯房 72平 翔城国际(一期) 2室2厅 精装修 看房方便,220.0,30249,翔城国际(一期),翔安,2,72.7,南北,2014,"['南北', '满五年', '近地铁']"
图尔花园边套三房，客厅朝南，看房随时，看中可谈,310.0,29166,特房银溪墅府图尔花园,同安,3,106.3,南北,2019,"['南北', '价格优惠', '房东急售', '随时可看']"
南北通透 3室2厅 企业力荐好房诚意出售,268.0,30099,翔城国际(一期),翔安,3,89,南北,2000,"['南北', '近地铁', '人气热搜']"
海峡国际社区一期南北通透 正看中庭高档小区明亮户型,1380.0,89780,海峡国际社区(一期),思明,3,153.7,南北,2009,"['南北', '近地铁', '绿化率高']"
精装4室2厅 夏商大学康城二期 看房有钥匙 东边套,230.0,18384,夏商大学康城(二期),集美,4,125.1,南北,2010,"['南北', '满五年', '绿化率高', '多人关注']"
南北通透 5室3厅 精装修,898.0,56937,金枫园,思明,5,157.7,南北,2000,"['南北', '满五年', '近地铁']"
3室2厅 精装修 企业力荐好房诚意出售,325.0,36493,中航城国际社区(C区北区),集美,3,89.1,东南,2013,"['东南', '近地铁']"
精装三房，保税区，华昌 湖里中学，南北通透，拎包入住,408.0,46693,象屿花园,湖里,3,87.4,南北,2000,"['南北', '满五年', '近地铁', '多人关注']"
翔安南部新城 实小双实旁 高端墅区 有天有地折扣力度大,518.0,35973,首创禧瑞风华(新房),翔安,4,144,南,,"['主卧套房', '大户型', '低容积']"
送固定车位一个！仙岳路温莎公馆旁，南北通透，4房2卫带大阳台,430.0,38739,福龙公寓(湖里),湖里,4,111,南北,1998,"['南北', '满五年', '近地铁']"
单价2.1，三面采光 精装修三房！,246.0,21920,金龙商城三期,海沧,3,112.2,南北,2006,"['南北', '满五年', '近地铁', '车位充足']"
莲花 鸿禧花园 居家装修 三面采光 楼层好 小区安静,468.0,57046,鸿禧花园,思明,3,82,东南,2006,"['东南', '满二年', '近地铁']"
隧道口阳光城翡丽湾 二室二厅 精装修 翔安新城,188.0,25134,阳光城翡丽湾(二期),翔安,2,74.8,西南,2015,"['西南', '有电梯']"
集美新城 精装大三房 楼下地铁口 首付120万,409.0,43979,中粮云玺壹号(新房),集美,3,93,南,,"['南北通透', '厨卫全明', '双卫生间', '轨交房']"
中间楼层 自住装修 南北通透,468.0,54199,仙阁里花园,思明,3,86.4,南北,1996,"['南北', '近地铁']"
永成大厦一套，错过后悔！,896.0,68153,永成大厦,思明,3,131.5,南北,2000,"['南北', '满二年', '近地铁', '绿化率高']"
思北BRT旁 07年花园式小区大同小朝向东南全明层高3.2米,1250.0,80067,源昌国际城(二期),思明,4,156.1,东南,2007,"['东南', '满五年', '近地铁']"
带独立院子，芙蓉苑，67平南北两房，小区中庭，业主急售,290.0,43168,芙蓉苑,湖里,2,67.2,南北,2000,"['南北', '满二年', '近地铁']"
华润品质 橡树湾三期 高层 精装修大四房 业主诚意出售 可谈,440.0,34258,橡树湾(三期),集美,4,128.4,南,2000,"['南', '满二年', '近地铁', '车位充足']"
思北2006年 大同小 3房，朝南双阳台 明厨明卫,1090.0,66987,源昌国际城(一期),思明,4,162.7,西南,2006,"['西南', '满五年', '近地铁']"
新楼盘 户型 设计 交通方便 小区的配置完善 适合刚需,286.0,24034,厦门远洋风景,同安,4,119,南,,"['大户型', '高绿化率']"
空户 思明 厦港新村旁 不见天两房一厅 有匙,378.0,60665,不见天,思明,3,62.3,南北,1993,"['南北', '满五年', '近地铁']"
(真实保证)金海湾一期2室,255.0,30434,金海湾,集美,2,83.8,南北,2007,"['南北', '近地铁']"
环东海域新城 60万起，同安六中 双地铁口! 快速进岛!,345.0,28992,特房樾熙湾(新房),同安,4,119,南北,,"['南北通透', '厨卫全明', '大阳台']"
天湖城3室2厅 精装修,308.0,33610,天湖城天湖,海沧,3,91.6,南,2012,"['南', '满二年', '近地铁', '车位充足']"
火炬园双地铁口 永升新城 南北 全明三房 双阳台 小区中庭,420.0,44925,永升新城,湖里,3,93.5,南北,2002,"['南北', '满五年', '近地铁']"
禾祥西斗西路 亿力花园旁 光华大厦 豪华四房146平公园,898.0,61465,光华大厦,思明,4,146.1,西北,1996,"['西北', '满二年', '近地铁', '车位充足']"
精装四房看海景，今年精装交房，换房,339.0,30000,特房樾琴湾二期,同安,4,113,南,,"['大户型', '车位充足']"
豪华装修 3室2厅 朝南 东方威尼斯 电梯房 满五 楼层好,498.0,53740,东方威尼斯,湖里,3,92.7,南北,2005,"['南北', '满二年', '近地铁']"
房，买一套送一套，送独立双露台！,1280.0,67822,福满山庄,思明,6,188.7,南北,2006,"['南北', '满五年', '近地铁', '多人关注']"
宁安里 精装修 89平 3室2厅 楼层好 视野无遮挡,225.0,25225,宁安里,集美,3,89.2,南,1998,"['南', '有电梯', '近地铁', '多人关注']"
（高层看湖 可改两房）实用面积 大阳台 地铁BRT 禾祥哓,369.0,61500,九龙城,思明,2,60,南北,2000,"['南北', '有电梯', '近地铁']"
正南 3室2厅 精装修,213.0,24562,聚镇,集美,3,86.7,南,2016,"['南', '满五年', '车位充足']"
滨海浪漫线，保利海景大三房，带家具拎包可住，房东工作调动急售,398.0,37414,保利叁仟栋(一期公寓住宅),同安,3,106.4,南北,2016,"['南北', '满二年']"
建发中央天成 3室1厅 南北,788.0,55990,建发中央天成,湖里,3,140.7,南北,2016,"['南北', '满二年', '近地铁', '车位充足']"
上郡新精装3房拎包入住 全朝南高楼层诚意出售价格好谈看房方便,210.0,22762,首开领翔上郡(公寓住宅),翔安,3,92.3,南,2017,"['南', '满二年', '配套成熟', '多人关注']"
新莲岳里 人车分流位置 中庭户型方正 空间多20平,446.0,70941,莲岳里小区,思明,2,62.9,南北,1994,"['南北', '满二年', '近地铁']"
正南 2室1厅 企业力荐好房诚意出售,433.0,51371,长青路430-431号小区,思明,2,84.3,南,2002,"['南', '满二年', '近地铁']"
双地铁口大，唐 一梯两户南北通透正规大三房2卫,488.0,45413,湖里大唐世家五期(公寓住宅),湖里,3,107.5,南北,2000,"['南北', '满五年', '近地铁']"
思北 大同 旁 2005年小区 南北通透 电梯 4房,1145.0,75142,华侨海景城,思明,4,152.4,南北,2006,"['热门小区', '南北通透', '配套成熟']"
(真实保证)宁宝世家2室,268.0,30930,宁宝世家,集美,2,86.7,南北,2013,"['南北', '近地铁']"
东方巴黎三期小3房 视野非常 500万,500.0,57472,东方巴黎广场,湖里,3,87,东南,2006,"['东南', '满五年', '近地铁', '绿化率高']"
康乐一小！正规3房 460万！楼层好！框架！康乐新村二期地铁,460.0,51960,康乐新村二期,湖里,3,88.5,南北,2000,"['南北', '满五年', '近地铁']"
沧林以南 业主降价急售看中可谈 延奎 地铁口300米,251.0,23058,泉舜信海花园,海沧,3,108.9,南北,2000,"['南北', '满五年', '近地铁', '车位充足']"
火车站地铁口，南北通透，精装婚房，中间楼层，全明三房,498.0,61703,银河新村,思明,3,80.7,南北,1998,"['南北', '满五年', '近地铁']"
地铁口 S.M商圈 凯城花园 独立露台60平精装修格局采光好,448.0,50933,凯城花园,湖里,3,88,西南,2000,"['西南', '满五年', '近地铁']"
南北通透 2室2厅 精装修,568.0,63400,裕康花园,思明,2,89.6,南北,2005,"['南北', '满五年', '近地铁', '车位充足']"
（朝南电梯两房！明厨明卫）2000年，带空中花园，人车分流,576.0,67893,白鹭花园公寓,思明,2,84.8,南北,2000,"['南北', '满五年', '近地铁']"
莲前西路 五中龙山山庄，2房可以改3房，有锁,460.0,57250,龙山山庄(一期),思明,2,80.4,南,1997,"['南', '满五年', '近地铁']"
满五房源！性价比高，等待有缘人！,320.0,25656,海沧万科城(一期),海沧,4,124.7,南,2017,"['南', '满五年', '近地铁', '车位充足']"
青春海岸精装刚需两房 商圈成熟 交通便利,216.0,25111,海投青春海岸,海沧,2,86,南,2014,"['南', '满二年', '近地铁', '车位充足']"
吕厝地铁口 08年电梯高层 视野好 厅带阳台 看房方便,448.0,55221,中铁财富港湾,湖里,3,81.1,南北,2007,"['南北', '满五年', '近地铁']"
联发品质，集美新城位置好，商圈成熟地铁口 环绕,365.0,38021,联发臻荣府,集美,3,96,南,,"['南北通透', '厨卫全明', '主卧套房', '高绿化率']"
特房黎安小镇三期 南北通透 全明户型 高楼层 配套完善,210.0,23362,特房黎安小镇(三期),翔安,2,89.9,南北,2016,"['南北', '满二年', '配套成熟']"
央企品质保证 中海万锦熙岸 精装修 拎包入住 随时看房,186.0,21118,中海万锦熙岸,同安,3,88.1,南,2017,"['南', '有电梯', '多人关注']"
厦禾路 官邸大厦 火车站旁 电梯复式楼中楼 诚售,318.0,78967,官邸大厦,思明,1,40.3,西北,2005,"['西北', '满五年', '近地铁', '人气热搜']"
环东海域 精装修 满二 电梯房 诚心出售 价格可议,178.0,20339,中海万锦熙岸,同安,3,87.5,南,2017,"['南', '满五年', '多人关注']"
镇海路地铁 石泉路 95年精装2加1房 南北通透 群慧抽实小,530.0,65651,石泉路19-29号小区,思明,3,80.7,南北,1995,"['南北', '满二年', '近地铁']"
2月新出 文灶地铁 外国语小免个税 电梯东南北全明3房厅朝南,598.0,63067,城市花园,思明,3,94.8,南北,2002,"['南北', '满五年', '近地铁', '多人关注']"
吕厝地铁口 莲花广场 高层大2房 可改3房 诚意出售,560.0,59759,莲花广场,思明,2,93.7,南北,2000,"['南北', '满五年', '近地铁']"
大学康城精装小3房 保养的好 产权满五 税费少 楼层佳,185.0,20321,夏商大学康城(一期),集美,3,91,南,2008,"['南', '满五年', '绿化率高', '多人关注']"
精装三房 比同户型优惠60万 报价仅售329万翔鹭花城,328.0,42787,翔鹭花城(二期),湖里,3,76.7,南北,2007,"['南北', '满五年', '近地铁']"
吕厝地铁口，财富港湾，标准2房，全明，395万,395.0,55130,中铁财富港湾,湖里,2,71.7,东北,2008,"['东北', '满五年', '近地铁']"
五中 空户 莲前西路 龙山山庄3加1 户型方正,568.0,58132,龙山山庄(一期),思明,3,97.7,东,1997,"['东', '满五年', '近地铁']"
近地铁口，永升新城，92平南北三房，业主急售，看中价格可谈,390.0,42167,永升新城,湖里,3,92.5,南北,2002,"['南北', '满二年', '近地铁']"
(真实保证)夏商新纪元二期3室,210.0,23783,夏商新纪元(二期),集美,3,88.3,南北,2017,"['南北', '有电梯']"
莲岳里 2室2厅 价格可议,460.0,72670,莲岳里小区,思明,2,63.3,南北,1997,"['南北', '满二年', '近地铁']"
松柏成熟商圈 刚需 低总价 正规两居,365.0,53796,仙阁里花园,思明,2,67.9,南,1996,"['南', '近地铁']"
